,datetime,city,state,shape,comment
56,12/13/20 20:20,Leavenworth,IN,Flash,I heard something fall inside the Barn when I went outside to bring the cats in I told my brother there was someone or something in the barn and that something wrong was going on he came outside to investigate and we noticed in the distance flashing lights bright flashing red lights I was late leaving for a date at 9:00 and I was in a rush so I noticed the red lights were in the direction of my house so I took my phone and recorded two videos at the base of the hill in the final video the entire sky is lit up and it looks like an electrical storm is moving in back at my brother's house we watched the lights flashing it was an unusual pattern in the videos that I recorded this I even recorded two videos one at my driveway and one at the base of the Hill at the top of the hill when I drove to investigate the lights shut down and I felt as if there was an urgency I looked around at the top of the hill and saw nothing or no one and no vehicles there's a flat fie! ld where tall Grass are we live in the rural country and I felt that I really needed to leave Not only was I late for my date but I thought the electrical storm was now turning into something very spooky upon returning from dinner the animals were acting strange and I will stop and leave it at that but I truly believe this was a UFO and so does my brother and the two videos are breathtaking and there is no explanation of what these red lights are I now know what red lights flashing they are UFOs I believe there was one or two ships on top of the hill signaling me to stop and talk to them but luckily I had a date or I believe something unbelievable would have happened to me had I gone and driven to the left to investigate because I normally would investigate something like this thank you if you want copies of the videos feel free to contact me I plan on posting them on YouTube but I wanted to contact you first to see if you could tell me what this really was I just know I ha! ven't been the same since and the animal that came up to me th! at night was my neighbor's donkey and it walked up to me at 11:00 when I stopped at my driveway to check the mailbox and what it did shocked me it kept walking to me as I backed up away from my mailbox it stopped raised its lower lip after it smelled me it kept coming up to me and I had to keep walking backwards as it nudge me with its nose and then it stopped and urinated by my mailbox where I was standing I got into my Jeep
57,12/13/20 20:05,Framingham,MA,Circle,Saw four red glowing balls moving at a high rate of speed one of them turning at a 90° angle. They were blinking in and out
58,12/13/20 20:05,Framingham,MA,Circle,Saw four red glowing balls moving at a high rate of speed one of them turning at a 90° angle. They were blinking in and out
59,12/13/20 07:10,college park,MD,Other,4 dots and a beam
60,12/13/20 01:30,Tramandaí,<br/>,Light,"Red light turning into white, flying high up in the sky."
61,12/13/20 00:00,Clearwater,FL,Chevron,Triangle chevron shaped with fixed lights flying low and fast it disappeared into thin air
62,12/12/20 21:00,New York,NY,Light,BALLS OF LIGHT MOVING IN FIGURE 8
63,12/12/20 21:00,West Hempstead,NY,Other,"We looked up in the sky and there was a square object flying above us, very slow and made no sound. Each point had a light and it was traveling towards eastern long island. I looked next to me and my dog was watching it, never turned away until we could no longer see it."
64,12/12/20 16:50,Tucson,AZ,Light,"Seen at first as a stationary single point of bright red light, against blue sky, then as changing colors of red, white and black"
65,12/12/20 14:10,Allen,TX,Oval,"Amorphous and slighly oval shaped, black object seen in broad daylight..."
66,12/12/20 07:36,Flowery Branch,GA,Fireball,I woke up this morning and approximately 07:34 I opened my balcony door off my bedroom (2nd floor) and seen a bright light.  At first I thought it was just the sun reflecting off a cloud because it was early and I could see the sun rising as the moon was fading out.It was clear skies and the light seemed to keep rising above the cloud I had noticed it in and started to get longer to what then appeared to be a fire ball. I noticed as it kept going on an upward trend straight up that there were 2 fiery streaks that trailed behind the fireball object. I picked up my phone and started recording video because it was hard to make out and I zoomed in and was able to make out the fireball shape with the trails behind it. I recorded this for 1 min 29 seconds and put my phone down to use my bathroom inside my bedroom and when I came back to look the sky was very grey and cloudy and the object seemed to disappear. I live in an apartment complex and this was seen north ! off my bedroom balcony. I have attached a link to the video I recorded for further investigation and I also noticed after watching the video 44 to 45 seconds in I seen a small metal object to the top right of the fireball but that also disappeared in seconds of recording. I dod notice 3 to 4 planes in the area prior to the siting but am 100% sure this fiery object was not a plane.
67,12/12/20 01:35,Moonachie/Little Ferry,NJ,Disk,UFO with Bright White Lights at around 1:30am
68,12/12/20 01:00,Bayville,NJ,Fireball,I was standing outside on the front porch and I saw 2 fireball like objects floating through the sky flying at a fast speed. Faster than any planes fly. They were semi low in the sky and flying right behind each other. Then all of a sudden a third one came out of nowhere and followed the first two. They didnt make any noise in the air and they were almost circular in shape and all lit up red. As quickly as they came they were gone. It was amazing!
69,12/11/20 19:30,Tampa,FL,Unknown,"Nearly Invisible and silent UFO outline hovering slowly, Arch shaped."
70,12/11/20 18:09,Burlington,VT,Egg,"Bright light shot up into the sky, very fast and then came to a complete stop and lingered."
71,12/11/20 18:00,Louisville,KY,Disk,"Saucer seen by two individuals over Louisville, KY."
72,12/11/20 16:20,Ridgecrest,CA,Other,Multiple similar sized objects not flying as expected with bright lights underneath.
73,12/11/20 09:17,Aston,PA,Triangle,Very large translucent triangle
74,12/11/20 07:00,Rancho mirage,CA,Sphere,Noticed a sphere staying still in the sky. Clouds moving above it. Not moving for hours. Seemed like it soaking up the morning sun. As time passed it descended higher up since it started to appear smaller. By the time the sun was fully up it was gone.
