,datetime,city,state,shape,comment
58,4/29/20 22:00,Fort Jones,CA,Light,First noticed a very bright light hovering in the sky.  Then noticed some star like lights moving through the sky and then ascending up until out of sight this continued for over an hour. some moving together some one at a time but eventually all ended up ascending up into the clouds out of sight meanwhile the original bright light drifted off until it was also out of sight. seemed like every time they moved shortly after the wind would pick up they were never in any type of formation and never had any trail of lights following them.  just looked like blinking stars
59,4/29/20 22:00,Fort Jones,CA,Light,"Multiple &quot;star&quot; like lights moving throughout night sky, then ascending into sky"
60,4/29/20 21:40,Geneva,FL,Light,"We saw 50+ dots of light traveling in perfect unison one after the other, appearing in one spot and disappearing in another."
61,4/29/20 21:40,Port Saint Lucie,FL,Oval,Several lights in a straight line and then disappearing above the stars.
62,4/29/20 21:30,Woodbury,GA,Light,String of tiny lights in sky approx. 50 to 75 in single file straight line extremely high up.
63,4/29/20 21:30,Salem,OR,Light,My mom woke me up around 9:30 ish and told me to &quot;come look at this ufo hurry.&quot; Went outside and it looked like a super brigh
64,4/29/20 21:30,Vero Beach,FL,Light,While fishing on the Indian River near Johns island 30-40 lights were observed heading north to south evenly spaced then disappeared when they hit a certain point
65,4/29/20 21:25,Los Angeles,CA,Fireball,"Bright, orange/reddish light spotted moving over East LA"
66,4/29/20 21:25,Mount Pleasant,SC,Formation,We saw 6 lighted objects moving in a straight line towards a dimmer light and then disappeared.
67,4/29/20 21:15,Ponte Vedra Beach,FL,Light,Fleet of 30 crafts traveling in a row
68,4/29/20 21:00,Birmingham,AL,Circle,"As i was outside in my driveway,there was about 20 &quot;Crafts&quot; in the sky moving at a fast rate in a single filed line,one after"
69,4/29/20 20:45,Richmond,TX,Diamond,I was outside just relaxing looking at the stars when i noticed a straight line of stars i thought then i noticed they were moving in perfect formation heading towards southwest i called my sister who also confirmed what i saw and they continued moving for about 2 minutes maybe 25 to 30 of them evenly spaced very weird very scary makes you think thats why I'm here
70,4/29/20 20:40,Murfreesboro,TN,Formation,Straight line formation of 30 objects
71,4/29/20 20:35,Waynesboro,TN,Unknown,"I stepped outside to look at sky and saw a fast moving star light object and small sized object moving rapidly across the sky ( which I have seen on multiple occasions and have understood that to be a satellite !  But then there were two three four and more , at least 20-25!! Perfectly spaced traveling high velocity in tandem in perfect alignment heading north East across the clear sky! Very strange and unnerving !"
72,4/29/20 19:18,Melbourne,FL,Light,Line of traveling white lights disappear one by one over Melbourne FL.
73,4/29/20 18:34,Fayetteville,AR,<br/>,MADAR Node 136
74,4/29/20 16:45,Holt,FL,Rectangle,Witnessed oblong metallic object sit motionless in sky for 30 seconds before slowly flying away.
75,4/29/20 16:00,Tacoma,WA,Diamond,"At approximately 4:20AM in Tacoma,Wa I went outside and looked up to see a whole fleet of UFO's all flying in a straight line, looked to be equally spaced each one flying into a large dark cloud."
