,datetime,city,state,shape,comment
1571,7/21/18 04:15,Pompano Beach,FL,Egg,Golden sideways egg shape staying in the low sky over Atlantic Ocean in the dark early morning sky. Almost like a huge harvest moon.
1572,7/21/18 03:30,Aurora,CO,Light,Amber ball of light over Colorado.
1573,7/21/18 03:25,Cranston,RI,Circle,Bright shimmering circular disk/orb seen and videoed as it crossed central Rhode Island.
1574,7/21/18 02:21,Phelan,CA,Unknown,"From West to North East toward Las Vegas, NV."
1575,7/21/18 00:18,Lethbridge (Canada),AB,Light,A bright white light traveling slowly above my house no sound have pictures & video
1576,7/21/18 00:00,Omaha,NE,Sphere,SOUTH OMAHA LOOKS LIKE ABOVE offit air force base spinning sphere orange looks like drone of sum sort that is for scanning I-80/I-29 Bellview area.  THERE EVERY NIGHT TILL MORNING.
1577,7/20/18 00:00,Lilliwaup,WA,Circle,traveling white light high in sky
1578,7/20/18 23:30,Macklin (Canada),SK,Light,Quick moving bright white light. Seen by 2 people
1579,7/20/18 23:30,Coon Rapids,IA,Light,Star like object going into faster than light travel.
1580,7/20/18 23:30,Cheektowaga,NY,Triangle,Two triangular objects they were black with white lights underneath them three on each no sound and they were about four to five hundred
1581,7/20/18 23:00,Pierson,FL,Disk,Object moving unlike any man made object we know of.
1582,7/20/18 22:30,Great Falls,MT,Sphere,3 large pink flashes of circular pink light
1583,7/20/18 22:30,Oates,MO,Fireball,Seen a fireball like the sun in the southern sky then moments later two toned ship like one come from the north an both darted west
1584,7/20/18 22:30,Springfield,OR,Light,"As a former pilot of 20 years professionally  my friend called to my attention a white light coming directly over his house in Springfield, OR, from the the south.  I estimated it was in the 30's as far as altitude.  No sound but moving very quickly.  "
1585,7/20/18 22:10,Kelseyville,CA,Unknown,Unknown craft with white and green lights traveling east to west.
1586,7/20/18 21:49,Gulfport,MS,Triangle,Me and two of my friends were driving to another friends gone to attend a bachelorette party.  On the way to the house right after we had turned down a secluded road surrounded by trees I saw a large triangle shaped aircraft flying in the sky just above the trees.  I alerted my friends to the object and then we couldn’t see it for a second because of the angle from which we were driving and the trees because it was flying low right above the trees.  After a few more seconds we were able to see it again and then my other two friends could see it.   The object was flying low and slow paced almost as if it was flying at the same pace as the car we were in but it was big probably the size 2000 sq ft home if not bigger and there was no sound coming from it at all.  There were what appeared to be three lights close together on the edge of the craft in the middle of the side we were looking at and  appeared to be blinking lights on each corner of the side we were looking at.  We watched it for about a minute as we continued to travel to the house right when we were making a turn to get to the house we could no longer see it.  When we arrived we told the other people at the house of what we saw but they thought it was likely a military aircraft of some sort.  But we knew it was definitely not a normal aircraft.
1587,7/20/18 21:20,Jessieville,AR,Disk,ufos over Lake Ouachita seen from Navy Landing by two people with video and photo.
1588,7/20/18 21:00,Owens Cross Roads,AL,Light,"A massive bright, white light was observed over Owens Cross Roads, AL, by three adults."
1589,7/20/18 21:00,Lakeport,CA,Circle,Orange light stops and slowly moves as it encounters air traffic
1590,7/20/18 21:00,Lake Wylie,SC,Light,"Three reddish lights, one after the other, climbing from low to high in the south-southeast part of the sky, headed west, followed shortly by a fourth one.  No sound.  No shape.  We were on a boat on the lake.  There was also an airplane that went by in another part of the sky which was bright and noisy, which made the silence of the UFOs more obvious.  One witness says he watched the fourth UFO for a while and saw the reddish light go off, leaving just a rounded dark object with no visible wings.  He says the UFOs were coming from the direction of the nuclear plant.  It was not quite full dark yet.  They were moving too fast to be balloons.  Possibly helicopters or drones but very quiet."
1591,7/20/18 20:30,Buzzards Bay/Bourne,MA,Fireball,"Orange fireball at Buzzard's Bay, MA"
